colour	xmin	xmax	showSelected1	showSelected2	PANEL	group
transparent	0	91	4	1	1	1
transparent	0	91	4	2	1	1
transparent	0	91	4	3	1	1
transparent	0	91	4	4	1	1
transparent	0	91	4.05	1	1	1
transparent	0	91	4.05	2	1	1
transparent	0	91	4.05	3	1	1
transparent	0	91	4.05	4	1	1
transparent	0	91	4.1	1	1	1
transparent	0	91	4.1	2	1	1
transparent	0	91	4.1	3	1	1
transparent	0	91	4.1	4	1	1
transparent	0	91	4.15	1	1	1
transparent	0	91	4.15	2	1	1
transparent	0	91	4.15	3	1	1
transparent	0	91	4.15	4	1	1
transparent	0	91	4.2	1	1	1
transparent	0	91	4.2	2	1	1
transparent	0	91	4.2	3	1	1
transparent	0	91	4.2	4	1	1
transparent	0	91	4.25	1	1	1
transparent	0	91	4.25	2	1	1
transparent	0	91	4.25	3	1	1
transparent	0	91	4.25	4	1	1
transparent	0	91	4.3	1	1	1
transparent	0	91	4.3	2	1	1
transparent	0	91	4.3	3	1	1
transparent	0	91	4.3	4	1	1
transparent	0	91	4.35	1	1	1
transparent	0	91	4.35	2	1	1
transparent	0	91	4.35	3	1	1
transparent	0	91	4.35	4	1	1
transparent	0	91	4.4	1	1	1
transparent	0	91	4.4	2	1	1
transparent	0	91	4.4	3	1	1
transparent	0	91	4.4	4	1	1
transparent	0	91	4.45	1	1	1
transparent	0	91	4.45	2	1	1
transparent	0	91	4.45	3	1	1
transparent	0	91	4.45	4	1	1
transparent	0	91	4.5	1	1	1
transparent	0	91	4.5	2	1	1
transparent	0	91	4.5	3	1	1
transparent	0	91	4.5	4	1	1
transparent	0	91	4.55	1	1	1
transparent	0	91	4.55	2	1	1
transparent	0	91	4.55	3	1	1
transparent	0	91	4.55	4	1	1
transparent	0	91	4.6	1	1	1
transparent	0	91	4.6	2	1	1
transparent	0	91	4.6	3	1	1
transparent	0	91	4.6	4	1	1
transparent	0	91	4.65	1	1	1
transparent	0	91	4.65	2	1	1
transparent	0	91	4.65	3	1	1
transparent	0	91	4.65	4	1	1
transparent	0	91	4.66816745440284	1	1	1
transparent	0	91	4.66816745440284	2	1	1
transparent	0	91	4.66816745440284	3	1	1
transparent	0	91	4.7	1	1	1
transparent	0	91	4.7	2	1	1
transparent	0	91	4.7	3	1	1
transparent	0	91	4.75	1	1	1
transparent	0	91	4.75	2	1	1
transparent	0	91	4.75	3	1	1
transparent	0	91	4.8	1	1	1
transparent	0	91	4.8	2	1	1
transparent	0	91	4.8	3	1	1
transparent	0	91	4.84102739939653	1	1	1
transparent	0	91	4.84102739939653	2	1	1
transparent	0	91	4.84102739939653	3	1	1
transparent	0	91	4.85	1	1	1
transparent	0	91	4.85	2	1	1
transparent	0	91	4.85	3	1	1
transparent	0	91	4.9	1	1	1
transparent	0	91	4.9	2	1	1
transparent	0	91	4.9	3	1	1
transparent	0	91	4.91980750606868	1	1	1
transparent	0	91	4.91980750606868	2	1	1
transparent	0	91	4.95	1	1	1
transparent	0	91	4.95	2	1	1
transparent	0	91	5	1	1	1
transparent	0	91	5	2	1	1
transparent	0	91	5.05	1	1	1
transparent	0	91	5.05	2	1	1
transparent	0	91	5.09266745106238	1	1	1
transparent	0	91	5.09266745106238	2	1	1
transparent	0	91	5.1	1	1	1
transparent	0	91	5.1	2	1	1
transparent	0	91	5.15	1	1	1
transparent	0	91	5.15	2	1	1
transparent	0	91	5.16792151301062	1	1	1
transparent	0	91	5.16792151301062	2	1	1
transparent	0	91	5.2	1	1	1
transparent	0	91	5.2	2	1	1
transparent	0	91	5.25	1	1	1
transparent	0	91	5.25	2	1	1
transparent	0	91	5.3	1	1	1
transparent	0	91	5.3	2	1	1
transparent	0	91	5.35	1	1	1
transparent	0	91	5.35	2	1	1
transparent	0	91	5.4	1	1	1
transparent	0	91	5.4	2	1	1
transparent	0	91	5.41956156467646	1	1	1
transparent	0	91	5.41956156467646	2	1	1
transparent	0	91	5.45	1	1	1
transparent	0	91	5.45	2	1	1
transparent	0	91	5.46103520669639	1	1	1
transparent	0	91	5.5	1	1	1
transparent	0	91	5.55	1	1	1
transparent	0	91	5.6	1	1	1
transparent	0	91	5.63389515169009	1	1	1
transparent	0	91	5.65	1	1	1
transparent	0	91	5.7	1	1	1
transparent	0	91	5.75	1	1	1
transparent	0	91	5.8	1	1	1
transparent	0	91	5.85	1	1	1
transparent	0	91	5.9	1	1	1
transparent	0	91	5.95	1	1	1
transparent	0	91	5.96078926530417	1	1	1
transparent	0	91	6	1	1	1
transparent	0	91	6.05	1	1	1
transparent	0	91	6.1	1	1	1
transparent	0	91	6.15	1	1	1
transparent	0	91	6.2	1	1	1
transparent	0	91	6.25	1	1	1
transparent	0	91	6.3	1	1	1
transparent	0	91	6.35	1	1	1
transparent	0	91	6.4	1	1	1
transparent	0	91	6.45	1	1	1
transparent	0	91	6.5	1	1	1
#FF0000	0	91	4	5	1	3
#FF0000	0	91	4.05	5	1	3
#FF0000	0	91	4.1	5	1	3
#FF0000	0	91	4.15	5	1	3
#FF0000	0	91	4.2	5	1	3
#FF0000	0	91	4.25	5	1	3
#FF0000	0	91	4.3	5	1	3
#FF0000	0	91	4.35	5	1	3
#FF0000	0	91	4.4	5	1	3
#FF0000	0	91	4.45	5	1	3
#FF0000	0	91	4.5	5	1	3
#FF0000	0	91	4.55	5	1	3
#FF0000	0	91	4.6	5	1	3
#FF0000	0	91	4.65	5	1	3
#FF0000	0	91	4.66816745440284	4	1	3
#FF0000	0	91	4.7	4	1	3
#FF0000	0	91	4.7	5	1	3
#FF0000	0	91	4.75	4	1	3
#FF0000	0	91	4.75	5	1	3
#FF0000	0	91	4.8	4	1	3
#FF0000	0	91	4.8	5	1	3
#FF0000	0	91	4.84102739939653	4	1	3
#FF0000	0	91	4.85	4	1	3
#FF0000	0	91	4.9	4	1	3
#FF0000	0	91	4.91980750606868	3	1	3
#FF0000	0	91	4.95	3	1	3
#FF0000	0	91	4.95	4	1	3
#FF0000	0	91	5	3	1	3
#FF0000	0	91	5	4	1	3
#FF0000	0	91	5.05	3	1	3
#FF0000	0	91	5.05	4	1	3
#FF0000	0	91	5.09266745106238	3	1	3
#FF0000	0	91	5.1	3	1	3
#FF0000	0	91	5.15	3	1	3
#FF0000	0	91	5.16792151301062	3	1	3
#FF0000	0	91	5.2	3	1	3
#FF0000	0	91	5.25	3	1	3
#FF0000	0	91	5.3	3	1	3
#FF0000	0	91	5.35	3	1	3
#FF0000	0	91	5.4	3	1	3
#FF0000	0	91	5.41956156467646	3	1	3
#FF0000	0	91	5.45	3	1	3
#FF0000	0	91	5.46103520669639	2	1	3
#FF0000	0	91	5.5	2	1	3
#FF0000	0	91	5.5	3	1	3
#FF0000	0	91	5.55	2	1	3
#FF0000	0	91	5.55	3	1	3
#FF0000	0	91	5.6	2	1	3
#FF0000	0	91	5.6	3	1	3
#FF0000	0	91	5.63389515169009	2	1	3
#FF0000	0	91	5.65	2	1	3
#FF0000	0	91	5.7	2	1	3
#FF0000	0	91	5.75	2	1	3
#FF0000	0	91	5.8	2	1	3
#FF0000	0	91	5.85	2	1	3
#FF0000	0	91	5.9	2	1	3
#FF0000	0	91	5.95	2	1	3
#FF0000	0	91	5.96078926530417	2	1	3
#FF0000	0	91	6	2	1	3
#FF0000	0	91	6.05	2	1	3
#FF0000	0	91	6.1	2	1	3
#FF0000	0	91	6.15	2	1	3
#FF0000	0	91	6.2	2	1	3
#FF0000	0	91	6.25	2	1	3
#FF0000	0	91	6.3	2	1	3
#FF0000	0	91	6.35	2	1	3
#FF0000	0	91	6.4	2	1	3
#FF0000	0	91	6.45	2	1	3
#FF0000	0	91	6.5	2	1	3
transparent	0	91	4	6	1	1
transparent	0	91	4.05	6	1	1
transparent	0	91	4.1	6	1	1
transparent	0	91	4.15	6	1	1
transparent	0	91	4.2	6	1	1
transparent	0	91	4.25	6	1	1
transparent	0	91	4.3	6	1	1
transparent	0	91	4.35	6	1	1
transparent	0	91	4.4	6	1	1
transparent	0	91	4.45	6	1	1
transparent	0	91	4.5	6	1	1
transparent	0	91	4.55	6	1	1
transparent	0	91	4.6	6	1	1
transparent	0	91	4.65	6	1	1
transparent	0	91	4.66816745440284	5	1	1
transparent	0	91	4.7	6	1	1
transparent	0	91	4.75	6	1	1
transparent	0	91	4.8	6	1	1
transparent	0	91	4.84102739939653	5	1	1
transparent	0	91	4.85	5	1	1
transparent	0	91	4.85	6	1	1
transparent	0	91	4.9	5	1	1
transparent	0	91	4.9	6	1	1
transparent	0	91	4.91980750606868	4	1	1
transparent	0	91	4.91980750606868	5	1	1
transparent	0	91	4.95	5	1	1
transparent	0	91	4.95	6	1	1
transparent	0	91	5	5	1	1
transparent	0	91	5	6	1	1
transparent	0	91	5.05	5	1	1
transparent	0	91	5.05	6	1	1
transparent	0	91	5.09266745106238	4	1	1
transparent	0	91	5.09266745106238	5	1	1
transparent	0	91	5.1	4	1	1
transparent	0	91	5.1	5	1	1
transparent	0	91	5.1	6	1	1
transparent	0	91	5.15	4	1	1
transparent	0	91	5.15	5	1	1
transparent	0	91	5.15	6	1	1
transparent	0	91	5.16792151301062	4	1	1
transparent	0	91	5.16792151301062	5	1	1
transparent	0	91	5.2	4	1	1
transparent	0	91	5.2	5	1	1
transparent	0	91	5.25	4	1	1
transparent	0	91	5.25	5	1	1
transparent	0	91	5.3	4	1	1
transparent	0	91	5.3	5	1	1
transparent	0	91	5.35	4	1	1
transparent	0	91	5.35	5	1	1
transparent	0	91	5.4	4	1	1
transparent	0	91	5.4	5	1	1
transparent	0	91	5.41956156467646	4	1	1
transparent	0	91	5.45	4	1	1
transparent	0	91	5.46103520669639	3	1	1
transparent	0	91	5.5	4	1	1
transparent	0	91	5.55	4	1	1
transparent	0	91	5.6	4	1	1
transparent	0	91	5.63389515169009	3	1	1
transparent	0	91	5.65	3	1	1
transparent	0	91	5.65	4	1	1
transparent	0	91	5.7	3	1	1
transparent	0	91	5.7	4	1	1
transparent	0	91	5.75	3	1	1
transparent	0	91	5.75	4	1	1
transparent	0	91	5.8	3	1	1
transparent	0	91	5.8	4	1	1
transparent	0	91	5.85	3	1	1
transparent	0	91	5.85	4	1	1
transparent	0	91	5.9	3	1	1
transparent	0	91	5.9	4	1	1
transparent	0	91	5.95	3	1	1
transparent	0	91	5.95	4	1	1
transparent	0	91	5.96078926530417	3	1	1
transparent	0	91	6	3	1	1
transparent	0	91	6.05	3	1	1
transparent	0	91	6.1	3	1	1
transparent	0	91	6.15	3	1	1
transparent	0	91	6.2	3	1	1
transparent	0	91	6.25	3	1	1
transparent	0	91	6.3	3	1	1
transparent	0	91	6.35	3	1	1
transparent	0	91	6.4	3	1	1
transparent	0	91	6.45	3	1	1
transparent	0	91	6.5	3	1	1
#FF0000	0	91	4	7	1	3
#FF0000	0	91	4.05	7	1	3
#FF0000	0	91	4.1	7	1	3
#FF0000	0	91	4.15	7	1	3
#FF0000	0	91	4.2	7	1	3
#FF0000	0	91	4.25	7	1	3
#FF0000	0	91	4.3	7	1	3
#FF0000	0	91	4.35	7	1	3
#FF0000	0	91	4.4	7	1	3
#FF0000	0	91	4.45	7	1	3
#FF0000	0	91	4.5	7	1	3
#FF0000	0	91	4.55	7	1	3
#FF0000	0	91	4.6	7	1	3
#FF0000	0	91	4.65	7	1	3
#FF0000	0	91	4.66816745440284	6	1	3
#FF0000	0	91	4.7	7	1	3
#FF0000	0	91	4.75	7	1	3
#FF0000	0	91	4.8	7	1	3
#FF0000	0	91	4.84102739939653	6	1	3
#FF0000	0	91	4.85	7	1	3
#FF0000	0	91	4.9	7	1	3
#FF0000	0	91	4.91980750606868	6	1	3
#FF0000	0	91	4.95	7	1	3
#FF0000	0	91	5	7	1	3
#FF0000	0	91	5.05	7	1	3
#FF0000	0	91	5.09266745106238	6	1	3
#FF0000	0	91	5.1	7	1	3
#FF0000	0	91	5.15	7	1	3
#FF0000	0	91	5.16792151301062	6	1	3
#FF0000	0	91	5.2	6	1	3
#FF0000	0	91	5.2	7	1	3
#FF0000	0	91	5.25	6	1	3
#FF0000	0	91	5.25	7	1	3
#FF0000	0	91	5.3	6	1	3
#FF0000	0	91	5.3	7	1	3
#FF0000	0	91	5.35	6	1	3
#FF0000	0	91	5.35	7	1	3
#FF0000	0	91	5.4	6	1	3
#FF0000	0	91	5.4	7	1	3
#FF0000	0	91	5.41956156467646	5	1	3
#FF0000	0	91	5.41956156467646	6	1	3
#FF0000	0	91	5.45	5	1	3
#FF0000	0	91	5.45	6	1	3
#FF0000	0	91	5.45	7	1	3
#FF0000	0	91	5.46103520669639	4	1	3
#FF0000	0	91	5.46103520669639	5	1	3
#FF0000	0	91	5.46103520669639	6	1	3
#FF0000	0	91	5.5	5	1	3
#FF0000	0	91	5.5	6	1	3
#FF0000	0	91	5.5	7	1	3
#FF0000	0	91	5.55	5	1	3
#FF0000	0	91	5.55	6	1	3
#FF0000	0	91	5.55	7	1	3
#FF0000	0	91	5.6	5	1	3
#FF0000	0	91	5.6	6	1	3
#FF0000	0	91	5.63389515169009	4	1	3
#FF0000	0	91	5.63389515169009	5	1	3
#FF0000	0	91	5.65	5	1	3
#FF0000	0	91	5.65	6	1	3
#FF0000	0	91	5.7	5	1	3
#FF0000	0	91	5.7	6	1	3
#FF0000	0	91	5.75	5	1	3
#FF0000	0	91	5.75	6	1	3
#FF0000	0	91	5.8	5	1	3
#FF0000	0	91	5.8	6	1	3
#FF0000	0	91	5.85	5	1	3
#FF0000	0	91	5.9	5	1	3
#FF0000	0	91	5.95	5	1	3
#FF0000	0	91	5.96078926530417	4	1	3
#FF0000	0	91	6	4	1	3
#FF0000	0	91	6	5	1	3
#FF0000	0	91	6.05	4	1	3
#FF0000	0	91	6.05	5	1	3
#FF0000	0	91	6.1	4	1	3
#FF0000	0	91	6.1	5	1	3
#FF0000	0	91	6.15	4	1	3
#FF0000	0	91	6.15	5	1	3
#FF0000	0	91	6.2	4	1	3
#FF0000	0	91	6.25	4	1	3
#FF0000	0	91	6.3	4	1	3
#FF0000	0	91	6.35	4	1	3
#FF0000	0	91	6.4	4	1	3
#FF0000	0	91	6.45	4	1	3
#FF0000	0	91	6.5	4	1	3
#FF0000	0	91	5.6	7	1	3
#FF0000	0	91	5.63389515169009	6	1	3
#FF0000	0	91	5.65	7	1	3
#FF0000	0	91	5.7	7	1	3
#FF0000	0	91	5.75	7	1	3
#FF0000	0	91	5.8	7	1	3
#FF0000	0	91	5.85	6	1	3
#FF0000	0	91	5.85	7	1	3
#FF0000	0	91	5.9	6	1	3
#FF0000	0	91	5.9	7	1	3
#FF0000	0	91	5.95	6	1	3
#FF0000	0	91	5.96078926530417	5	1	3
#FF0000	0	91	6	6	1	3
#FF0000	0	91	6.05	6	1	3
#FF0000	0	91	6.1	6	1	3
#FF0000	0	91	6.2	5	1	3
#FF0000	0	91	6.25	5	1	3
#FF0000	0	91	6.3	5	1	3
#FF0000	0	91	6.35	5	1	3
#FF0000	0	91	6.4	5	1	3
#FF0000	0	91	6.45	5	1	3
#FF0000	0	91	6.5	5	1	3
#FF0000	0	91	5.95	7	1	3
#FF0000	0	91	6.15	6	1	3
#FF0000	0	91	5.96078926530417	6	1	3
#FF0000	0	91	6	7	1	3
#FF0000	0	91	6.2	6	1	3
#FF0000	0	91	6.05	7	1	3
#FF0000	0	91	6.1	7	1	3
#FF0000	0	91	6.15	7	1	3
#FF0000	0	91	6.2	7	1	3
#FF0000	0	91	6.25	6	1	3
#FF0000	0	91	6.25	7	1	3
#FF0000	0	91	6.3	6	1	3
#FF0000	0	91	6.35	6	1	3
#FF0000	0	91	6.4	6	1	3
#FF0000	0	91	6.45	6	1	3
#FF0000	0	91	6.3	7	1	3
#FF0000	0	91	6.5	6	1	3
#FF0000	0	91	6.35	7	1	3
#FF0000	0	91	6.4	7	1	3
#FF0000	0	91	6.45	7	1	3
#FF0000	0	91	6.5	7	1	3
#00BFFF	0	93.3	4	1	2	2
#00BFFF	0	93.3	4.05	1	2	2
#00BFFF	0	93.3	4.1	1	2	2
#00BFFF	0	93.3	4.15	1	2	2
#00BFFF	0	93.3	4.2	1	2	2
#00BFFF	0	93.3	4.25	1	2	2
#00BFFF	0	93.3	4.3	1	2	2
#00BFFF	0	93.3	4.35	1	2	2
#00BFFF	0	93.3	4.4	1	2	2
#00BFFF	0	93.3	4.45	1	2	2
#00BFFF	0	93.3	4.5	1	2	2
#00BFFF	0	93.3	4.55	1	2	2
#00BFFF	0	93.3	4.6	1	2	2
#00BFFF	0	93.3	4.65	1	2	2
#00BFFF	0	93.3	4.66816745440284	1	2	2
